Time (secs),Sonar Distance (m)
0.00021219253540039062,0.04
0.02066826820373535,0.08
0.04121899604797363,0.12
0.06155657768249512,0.16
0.08222842216491699,0.2
0.10294866561889648,0.24
0.12331748008728027,0.28
0.14378929138183594,0.32
0.16446161270141602,0.36
0.18479204177856445,0.4
0.7533235549926758,0.44
0.7736191749572754,0.48
0.9552526473999023,0.52
0.9756076335906982,0.56
0.9960646629333496,0.6
1.0390586853027344,0.64
1.0595388412475586,0.68
1.0798799991607666,0.72
1.1002514362335205,0.76
1.1206319332122803,0.8
1.1409797668457031,0.84
1.1612999439239502,0.8797948598861695
1.1820704936981201,0.9192741584777832
1.202514886856079,0.9584653377532959
1.222989797592163,0.997361536026001
1.2440948486328125,0.9959558939933777
1.3456788063049316,0.9932537126541138
1.386415958404541,0.9901536512374878
1.4069173336029053,0.9863127112388611
1.4272739887237549,0.9820052909851075
1.4476892948150635,0.9774097490310669
1.4680473804473877,0.9723614478111267
1.488398790359497,0.9670113062858582
1.5501022338867188,0.9609408664703369
1.5708303451538086,0.9545823049545288
1.5911402702331543,0.9479493451118469
1.611724615097046,0.9411654639244079
1.6727721691131592,0.9334623432159423
1.6936390399932861,0.9252927422523498
1.7148301601409912,0.9166703820228577
1.7351765632629395,0.9077461814880371
1.7556791305541992,0.8985201406478882
1.7767784595489502,0.8889922595024109
1.8176298141479492,0.878545138835907
1.8380622863769531,0.8679608178138732
2.000242233276367,0.8551401376724244
2.0209290981292725,0.8422433376312256
2.0620791912078857,0.8292230582237243
2.083523750305176,0.8162027788162232
2.1038942337036133,0.8031756401062011
2.124514102935791,0.7901622223854065
2.145199775695801,0.7783150029182434
2.1863229274749756,0.7660150241851806
2.206817150115967,0.7541678047180176
2.2270915508270264,0.7428350853919983
2.2677721977233887,0.729883406162262
2.2881031036376953,0.7167396473884583
2.3896729946136475,0.7033832287788391
2.4100100994110107,0.6899307680130005
2.430433750152588,0.6763273882865906
2.451545000076294,0.6628817880153656
2.512537717819214,0.6487707686424256
2.5331907272338867,0.6356407284736634
2.5740878582000732,0.6219687485694885
2.594754934310913,0.6083104884624482
2.6151633262634277,0.5945150291919709
2.635711669921875,0.5807538700103759
2.676654577255249,0.5667731904983521
2.6970181465148926,0.5536362910270691
2.7174437046051025,0.5398682713508606
2.737842082977295,0.5280690705776214
2.7587063312530518,0.516098370552063
2.7791240215301514,0.5044638109207153
2.7994754314422607,0.4933986306190491
2.839998722076416,0.48200417041778565
2.88049578666687,0.47003347039222715
3.0846574306488037,0.45553829073905944
