Resolution,Precision,True Positives,False Positives,No Detection,Reliability
1280x720,0.864831038798498,691,108,31,0.832530120481928
640x360,0.846153846153846,671,122,37,0.808433734939759
320x180,0.881226053639847,690,93,47,0.831325301204819
