Time (secs),Sonar Distance (m)
0.061012983322143555,0.0
0.08135557174682617,0.0
0.10200762748718262,0.0
0.12244439125061035,0.0
0.1429579257965088,0.0
0.30477213859558105,0.0
0.3258507251739502,0.0
0.34624481201171875,0.0
0.36755943298339844,0.0
0.3880159854888916,0.5
0.42862486839294434,1.0
0.6716041564941406,1.0
0.6919443607330322,1.0
0.7125086784362793,1.0
0.7329580783843994,1.0
0.7533102035522461,1.0
0.7737257480621338,1.0
0.7945864200592041,1.0
0.8152556419372559,1.0
0.8356876373291016,1.0
0.8567636013031006,1.0
0.8775129318237305,1.0
0.8983302116394043,1.0
1.0004701614379883,1.0
1.021608829498291,1.0
1.0421504974365234,1.0
1.0629937648773193,1.0
1.083411455154419,1.0
1.1247119903564453,1.0
1.1452953815460205,1.0
1.1656029224395752,1.0
1.1861660480499268,1.0
1.2067103385925293,1.0
1.227067232131958,1.0
1.2477123737335205,1.0
1.2690327167510986,1.0
1.2893974781036377,1.0
1.3098845481872559,1.0
1.330470323562622,0.9999224841594696
1.352562665939331,0.9960719645023346
1.3731026649475098,0.9927277266979218
1.3936686515808105,0.9886974692344666
1.4153859615325928,0.9792649745941162
1.4571733474731445,0.9698324799537659
1.4776287078857422,0.9632297456264496
1.6406705379486084,0.9596282541751862
1.6612858772277832,0.9553407430648804
1.6816246509552002,0.9479662179946899
1.7019541263580322,0.9426497220993042
1.7225468158721924,0.9374189972877502
1.7430336475372314,0.9328742325305939
1.7634868621826172,0.9315879642963409
1.8042266368865967,0.9158099889755249
1.8250665664672852,0.8966877460479736
1.845423936843872,0.8572427332401276
1.865833044052124,0.8178834915161133
1.8861916065216064,0.810680478811264
1.9066777229309082,0.803648978471756
1.927722692489624,0.798761248588562
2.0295934677124023,0.7902719974517822
2.0902886390686035,0.7796389758586884
2.110663414001465,0.7687487304210663
2.1310300827026367,0.7576870024204254
2.1514270305633545,0.7484259903430939
2.2121806144714355,0.7412229776382446
2.2564854621887207,0.7361637353897095
2.277294397354126,0.7322192490100861
2.2978157997131348,0.7308472394943237
2.338636636734009,0.7087237238883972
2.3590359687805176,0.6798259913921356
2.3795387744903564,0.6579597592353821
2.400064706802368,0.6379799842834473
2.420469284057617,0.6299194693565369
2.4413559436798096,0.62408846616745
2.4617278575897217,0.6144844591617584
2.482166051864624,0.6001642346382141
2.5025603771209717,0.5819852352142334
2.5230932235717773,0.5676649808883667
2.6885859966278076,0.5621770024299622
2.7095346450805664,0.5483712553977966
2.7305843830108643,0.5283915102481842
2.750959873199463,0.5194734930992126
2.7714548110961914,0.5178442299365997
2.7919211387634277,0.5169867277145386
2.8122613430023193,0.5140712261199951
2.833484172821045,0.5026664882898331
2.853929281234741,0.4878317415714264
2.8742544651031494,0.4550752341747284
2.8950467109680176,0.422747477889061
2.9160823822021484,0.4099707305431366
2.9365339279174805,0.39890898764133453
2.9572393894195557,0.39256349205970764
2.977962017059326,0.38424573838710785
2.9983959197998047,0.3775572329759598
3.080204486846924,0.37172622978687286
