Tracking Confidence,Precision,True Positives,False Positives,No Detection,Reliability
0.2,0.891001267427123,703,86,41,0.846987951807229
0.4,0.892857142857143,700,84,46,0.843373493975904
0.6,0.904639175257732,702,74,54,0.845783132530121
0.8,0.912873862158648,702,67,61,0.845783132530121
1,0,0,0,830,0
