loop step,time (secs)
0,0.5054621696472168
1,0.9513437747955322
2,1.297348976135254
3,1.652454137802124
4,2.0142390727996826
5,2.4270853996276855
6,2.8040833473205566
7,3.1824302673339844
8,3.5621352195739746
9,3.937896251678467
10,4.309830904006958
11,4.696287393569946
12,5.0780417919158936
13,5.492170333862305
14,5.866276979446411
15,6.233501672744751
16,6.61020302772522
17,6.982154607772827
18,7.344926357269287
19,7.720597982406616
20,8.111168622970581
21,8.517128467559814
22,8.892492055892944
23,9.262301921844482
24,9.643212795257568
25,10.019030094146729
26,10.396359205245972
27,10.77695918083191
28,11.160533428192139
29,11.574358940124512
30,11.947162628173828
31,12.324150562286377
32,12.697581768035889
33,13.060873746871948
34,13.431067705154419
35,13.80345344543457
36,14.186912536621094
37,14.598982810974121
38,14.948135614395142
39,15.32021975517273
40,15.692335605621338
41,16.063884258270264
42,16.438310861587524
43,16.818795680999756
44,17.205984354019165
45,17.608062505722046
46,17.98240852355957
47,18.36927819252014
48,18.746272563934326
49,19.128140449523926
50,19.503869771957397
51,19.882900714874268
52,20.268274068832397
53,20.66905975341797
54,21.044966220855713
55,21.42462682723999
56,21.82106065750122
57,22.20024037361145
58,22.58124804496765
59,22.963214635849
60,23.359999418258667
61,23.734662294387817
62,24.12059783935547
63,24.49563241004944
64,24.87437129020691
65,25.25630211830139
66,25.606475114822388
67,25.977116107940674
68,26.37295913696289
69,26.759205102920532
70,27.13742160797119
71,27.5161612033844
72,27.893437147140503
73,28.278419494628906
74,28.668212413787842
75,29.04759669303894
76,29.44542646408081
77,29.838005304336548
78,30.21773600578308
79,30.601537227630615
80,30.97314691543579
81,31.341723918914795
82,31.711559057235718
83,32.09860634803772
84,32.518033266067505
85,32.894678592681885
86,33.27397155761719
87,33.656681537628174
88,34.003196716308594
89,34.37380886077881
90,34.75459814071655
91,35.137173652648926
92,35.54039931297302
93,35.914482831954956
94,36.29829144477844
95,36.67213487625122
96,37.06069612503052
97,37.44737458229065
98,37.82064604759216
99,38.220048904418945
100,38.61996293067932
101,38.995381355285645
102,39.37412095069885
103,39.74679470062256
104,40.129727840423584
105,40.50921654701233
106,40.87673568725586
107,41.282405853271484
108,41.66329526901245
109,42.039440870285034
110,42.42786192893982
111,42.794914960861206
112,43.18061637878418
113,43.55573773384094
114,43.928823947906494
115,44.33577871322632
116,44.715580224990845
117,45.092575788497925
118,45.46991443634033
119,45.835022926330566
120,46.21632099151611
121,46.60073184967041
122,46.96554398536682
123,47.390480041503906
124,47.77468419075012
125,48.154863595962524
126,48.51752591133118
127,48.884838581085205
128,49.27098107337952
129,49.64605975151062
130,50.041545152664185
131,50.479241132736206
132,50.86015701293945
133,51.236833572387695
134,51.624478578567505
135,52.00179600715637
136,52.382976055145264
137,52.75816369056702
138,53.14580464363098
139,53.54510021209717
140,53.91891813278198
141,54.31304311752319
142,54.70042419433594
143,55.07168674468994
144,55.44257187843323
145,55.81977581977844
146,56.21976327896118
147,56.61947751045227
148,56.9902880191803
149,57.366382122039795
150,57.734222650527954
151,58.110952854156494
152,58.48822832107544
153,58.85915946960449
154,59.25755977630615
155,59.64182806015015
156,60.01551055908203
157,60.3800630569458
158,60.752973794937134
159,61.138070821762085
160,61.511590242385864
161,61.878586769104004
162,62.25979781150818
163,62.65439963340759
164,63.03537178039551
165,63.41599631309509
166,63.79610323905945
167,64.17067384719849
168,64.55438947677612
169,64.94100093841553
170,65.34029197692871
171,65.69346809387207
172,66.05127620697021
173,66.42830395698547
174,66.80178427696228
175,67.18237972259521
176,67.56029486656189
177,67.9371030330658
178,68.33821296691895
179,68.72532534599304
180,69.10714364051819
181,69.48637413978577
182,69.86906886100769
183,70.2423665523529
184,70.6189935207367
185,70.99904942512512
186,71.41238474845886
187,71.78910779953003
188,72.16163921356201
189,72.54176330566406
190,72.91918563842773
191,73.30486679077148
192,73.68148112297058
193,74.06640100479126
194,74.50398564338684
195,74.89459824562073
196,75.27863717079163
197,75.65985202789307
198,76.03677797317505
199,76.41590309143066
200,76.79518508911133
201,77.18405365943909
202,77.59231114387512
203,77.95699977874756
204,78.33378958702087
205,78.71130204200745
206,79.10318803787231
207,79.47593593597412
208,79.85525250434875
209,80.24844002723694
210,80.63696718215942
211,81.00465893745422
212,81.38523983955383
213,81.76243448257446
214,82.13945627212524
215,82.5152838230133
216,82.88494801521301
217,83.26776027679443
218,83.65234708786011
219,84.0363175868988
220,84.37837743759155
221,84.76148462295532
222,85.13650465011597
223,85.51344585418701
224,85.89182305335999
225,86.29360485076904
226,86.66555714607239
227,87.01874494552612
228,87.3973445892334
229,87.77558279037476
230,88.15454888343811
231,88.53117275238037
232,88.91544437408447
233,89.32440090179443
234,89.70709323883057
235,90.06300282478333
236,90.44135880470276
237,90.81654334068298
238,91.19347071647644
239,91.54240608215332
240,91.91486549377441
241,92.31421828269958
242,92.70213079452515
243,93.07543849945068
244,93.44684720039368
245,93.82340216636658
246,94.19777154922485
247,94.57792329788208
248,94.9438169002533
249,95.3419394493103
250,95.7191994190216
251,96.07288432121277
252,96.45294380187988
253,96.82232427597046
254,97.19450521469116
255,97.58169388771057
256,97.96112298965454
257,98.36166191101074
258,98.73789048194885
259,99.11515688896179
260,99.50039887428284
261,99.87425208091736
262,100.26960682868958
263,100.64692163467407
264,101.03502774238586
265,101.44751048088074
266,101.8247663974762
267,102.20054030418396
268,102.57782363891602
269,102.95635652542114
270,103.33173632621765
271,103.69646620750427
272,104.0919542312622
273,104.50908017158508
274,104.85037422180176
275,105.22906970977783
276,105.61740374565125
277,105.99652051925659
278,106.35535979270935
279,106.75148510932922
280,107.13778614997864
281,107.56027293205261
282,107.93674850463867
283,108.31387424468994
284,108.69936203956604
285,109.08036947250366
286,109.45474624633789
287,109.83234977722168
288,110.23391938209534
289,110.64215445518494
290,111.02441620826721
291,111.39367604255676
292,111.77078008651733
293,112.14050483703613
294,112.52040553092957
295,112.90205216407776
296,113.29571151733398
297,113.68615198135376
