loop step,time (secs)
0,0.4678175449371338
1,0.8932018280029297
2,1.2854406833648682
3,1.6255011558532715
4,1.9510047435760498
5,2.3427319526672363
6,2.704040050506592
7,3.0635015964508057
8,3.4101083278656006
9,3.76615309715271
10,4.13359808921814
11,4.513704538345337
12,4.879482269287109
13,5.233383655548096
14,5.586594820022583
15,5.931974411010742
16,6.279091119766235
17,6.6322362422943115
18,6.9699718952178955
19,7.352937936782837
20,7.709620475769043
21,8.050857305526733
22,8.396486520767212
23,8.741146564483643
24,9.095102548599243
25,9.446253776550293
26,9.7894766330719
27,10.165350675582886
28,10.519646883010864
29,10.87186312675476
30,11.228149175643921
31,11.57452130317688
32,11.952054262161255
33,12.301084756851196
34,12.647107362747192
35,13.00661325454712
36,13.386000156402588
37,13.732162237167358
38,14.063162088394165
39,14.422911167144775
40,14.776488780975342
41,15.130299806594849
42,15.469781160354614
43,15.82153868675232
44,16.204681634902954
45,16.551048517227173
46,16.906055450439453
47,17.26104736328125
48,17.615389823913574
49,17.96899676322937
50,18.323394536972046
51,18.673255443572998
52,19.035833597183228
53,19.41456437110901
54,19.766748189926147
55,20.10872507095337
56,20.467663049697876
57,20.81148672103882
58,21.163700819015503
59,21.516401052474976
60,21.873695850372314
61,22.276997327804565
62,22.628819942474365
63,22.976971864700317
64,23.34333848953247
65,23.698269844055176
66,24.02362585067749
67,24.36831545829773
68,24.720449924468994
69,25.093106269836426
70,25.46098279953003
71,25.80445909500122
72,26.152899026870728
73,26.502420902252197
74,26.8508563041687
75,27.21478509902954
76,27.56721019744873
77,27.921095371246338
78,28.291733980178833
79,28.633713960647583
80,28.98241686820984
81,29.337090253829956
82,29.68633794784546
83,30.040945053100586
84,30.38599920272827
85,30.743058443069458
86,31.111074209213257
87,31.46648931503296
88,31.790497303009033
89,32.148489236831665
90,32.50615835189819
91,32.862820863723755
92,33.219590187072754
93,33.569175004959106
94,33.93155789375305
95,34.30035758018494
96,34.66119074821472
97,35.011104345321655
98,35.36938166618347
99,35.72382140159607
100,36.07681441307068
101,36.4334659576416
102,36.791735887527466
103,37.19097447395325
104,37.5402774810791
105,37.88232445716858
106,38.223628997802734
107,38.564424991607666
108,38.923542737960815
109,39.275779008865356
110,39.63126087188721
111,40.005797386169434
112,40.390074014663696
113,40.741612911224365
114,41.09226894378662
115,41.45031023025513
116,41.801400899887085
117,42.15965986251831
118,42.51079297065735
119,42.86214995384216
120,43.23455190658569
121,43.587605714797974
122,43.93176627159119
123,44.2888023853302
124,44.63603496551514
125,44.986522912979126
126,45.32550597190857
127,45.67988705635071
128,46.04436755180359
129,46.425248861312866
130,46.771329402923584
131,47.13024020195007
132,47.48516821861267
133,47.84029173851013
134,48.19606852531433
135,48.55362367630005
136,48.90971112251282
137,49.2722601890564
138,49.6224308013916
139,49.97880840301514
140,50.342493534088135
141,50.6853666305542
142,51.03405427932739
143,51.38477873802185
144,51.73677611351013
145,52.103200912475586
146,52.50283098220825
147,52.84802293777466
148,53.20053219795227
149,53.55716347694397
150,53.90530014038086
151,54.25633978843689
152,54.612138509750366
153,54.96801543235779
154,55.353092193603516
155,55.70655417442322
156,56.05574035644531
157,56.40126037597656
158,56.74809956550598
159,57.09682869911194
160,57.44576406478882
161,57.8047890663147
162,58.168771505355835
163,58.51935124397278
164,58.869446992874146
165,59.22518730163574
166,59.581735610961914
167,59.93452262878418
168,60.288907289505005
169,60.638474225997925
170,60.999918937683105
171,61.360135078430176
172,61.691993951797485
173,62.0426766872406
174,62.39989113807678
175,62.755661725997925
176,63.10734796524048
177,63.45127058029175
178,63.80562353134155
179,64.18710970878601
180,64.55134582519531
181,64.90959787368774
182,65.26172065734863
183,65.60366606712341
184,65.96352410316467
185,66.3099799156189
186,66.65954256057739
187,67.02728366851807
188,67.42009115219116
189,67.76745080947876
190,68.11985969543457
191,68.48312664031982
192,68.83632755279541
193,69.18761420249939
194,69.52896285057068
195,69.88373899459839
196,70.26491928100586
197,70.61047577857971
198,70.96277809143066
199,71.32208967208862
200,71.67521572113037
201,72.02726292610168
202,72.37743997573853
203,72.7266640663147
204,73.0927836894989
205,73.47390675544739
206,73.8260235786438
207,74.18159890174866
208,74.536128282547
209,74.89038586616516
210,75.238605260849
211,75.59117555618286
212,75.9445116519928
213,76.32355093955994
214,76.68116450309753
215,77.03245067596436
216,77.37939023971558
217,77.73572707176208
218,78.09197425842285
219,78.44656229019165
220,78.7672176361084
221,79.13375854492188
222,79.49826955795288
223,79.84295320510864
224,80.19208860397339
225,80.55135226249695
226,80.89632296562195
227,81.22364091873169
228,81.57109570503235
229,81.93065357208252
230,82.32788872718811
231,82.68338966369629
232,83.03370571136475
233,83.39184927940369
234,83.74448204040527
235,84.08168315887451
236,84.43428015708923
237,84.79109597206116
238,85.15790176391602
239,85.48143291473389
240,85.8366346359253
241,86.19068098068237
242,86.5399477481842
243,86.8939905166626
244,87.24755048751831
245,87.59920454025269
246,87.96235918998718
247,88.35235738754272
248,88.68495440483093
249,89.02723526954651
250,89.37460422515869
251,89.70790696144104
252,90.05076146125793
253,90.40528655052185
254,90.75991487503052
255,91.12879347801208
256,91.48128485679626
257,91.83587002754211
258,92.18195009231567
259,92.54935598373413
260,92.90031147003174
261,93.26041150093079
262,93.62074565887451
263,93.98352599143982
264,94.37025547027588
265,94.73033094406128
266,95.08471369743347
267,95.44299864768982
268,95.79929828643799
269,96.15028810501099
270,96.5010838508606
271,96.85607504844666
272,97.24330139160156
273,97.59400701522827
274,97.90847992897034
275,98.26127743721008
276,98.6102819442749
277,98.97090983390808
278,99.30304336547852
279,99.66018342971802
280,100.01206588745117
281,100.40103888511658
282,100.74701857566833
283,101.10200595855713
284,101.46737575531006
285,101.82238006591797
286,102.16979479789734
287,102.5210177898407
288,102.87848830223083
289,103.26720237731934
290,103.61947989463806
291,103.97525930404663
292,104.3263521194458
293,104.67483687400818
294,105.03229236602783
295,105.38586664199829
296,105.73883175849915
297,106.10065007209778
298,106.4870216846466
299,106.84329414367676
300,107.19310140609741
301,107.5447268486023
302,107.9051399230957
303,108.26123452186584
304,108.62513494491577
305,108.98962235450745
306,109.35911297798157
307,109.71094155311584
308,110.06469297409058
309,110.41148257255554
310,110.76421046257019
311,111.12243962287903
312,111.48415970802307
313,111.84336590766907
314,112.21998953819275
315,112.5388834476471
316,112.88978695869446
317,113.23987579345703
318,113.58354139328003
319,113.94006180763245
320,114.29229283332825
321,114.64236903190613
322,115.00400400161743
323,115.39192271232605
324,115.7485020160675
325,116.10305094718933
326,116.45730757713318
327,116.81453919410706
328,117.16645169258118
329,117.52214193344116
330,117.88332605361938
331,118.2689278125763
332,118.6250147819519
333,118.9846625328064
334,119.34374642372131
335,119.7014410495758
336,120.05633568763733
337,120.41060781478882
338,120.7584936618805
339,121.11913824081421
340,121.49714159965515
341,121.85147261619568
342,122.20344877243042
343,122.56138944625854
344,122.90112376213074
345,123.24875259399414
346,123.59088659286499
347,123.94367909431458
348,124.33135938644409
349,124.69034242630005
350,125.04343843460083
351,125.40280294418335
352,125.7512514591217
353,126.0999550819397
354,126.45148706436157
355,126.80540823936462
356,127.17985653877258
357,127.52941107749939
358,127.8856270313263
359,128.238263130188
360,128.59017157554626
361,128.9327483177185
362,129.28365278244019
363,129.64185047149658
364,130.00159311294556
365,130.3772578239441
366,130.7250952720642
367,131.0606038570404
368,131.4159300327301
369,131.76818871498108
370,132.11525011062622
371,132.47056341171265
372,132.82482814788818
373,133.19171905517578
374,133.545569896698
375,133.88987708091736
376,134.22053861618042
377,134.5658881664276
378,134.92035126686096
379,135.24963068962097
380,135.6017291545868
381,135.96282839775085
382,136.34995126724243
383,136.70608830451965
384,137.06241989135742
385,137.4125006198883
386,137.7618396282196
387,138.11699557304382
388,138.47011303901672
389,138.8268609046936
390,139.20282316207886
391,139.559255361557
392,139.91286873817444
393,140.26851201057434
394,140.6366422176361
395,140.9953532218933
396,141.35363864898682
397,141.70771765708923
398,142.0794849395752
399,142.46472215652466
400,142.8142557144165
401,143.12889456748962
402,143.47263073921204
403,143.8063223361969
404,144.1457154750824
405,144.51099681854248
406,144.8649926185608
407,145.28579139709473
408,145.6321074962616
409,145.99249601364136
410,146.34871649742126
411,146.6969223022461
412,147.049480676651
413,147.4035518169403
414,147.77250003814697
415,148.12951946258545
416,148.50278425216675
417,148.8486304283142
418,149.17075324058533
419,149.5264434814453
420,149.87951707839966
421,150.24021768569946
422,150.5879487991333
423,150.94352912902832
424,151.33462142944336
425,151.70005989074707
426,152.05278420448303
427,152.40710067749023
428,152.72395491600037
429,153.08104968070984
430,153.42896509170532
431,153.762757062912
432,154.1312379837036
433,154.50225067138672
434,154.86130023002625
435,155.2171676158905
436,155.58095860481262
437,155.93581199645996
438,156.28673577308655
439,156.63671445846558
440,156.9904317855835
441,157.3858449459076
442,157.73694944381714
443,158.08885383605957
444,158.43781352043152
445,158.78834414482117
446,159.14401125907898
447,159.49721479415894
448,159.84189796447754
449,160.22112369537354
450,160.57020211219788
451,160.92012476921082
452,161.2729196548462
453,161.62339901924133
454,161.98368072509766
455,162.34063482284546
456,162.69796991348267
457,163.05017495155334
458,163.4377977848053
459,163.7751431465149
460,164.125501871109
461,164.48378324508667
462,164.83044528961182
463,165.18068504333496
464,165.53493356704712
465,165.86571788787842
466,166.25954484939575
467,166.60906767845154
468,166.96331810951233
469,167.31971096992493
470,167.6478123664856
471,167.9968032836914
472,168.35599040985107
473,168.6939902305603
474,169.05023789405823
475,169.43644499778748
476,169.78855061531067
477,170.14002013206482
478,170.47908902168274
479,170.8289635181427
480,171.17365097999573
481,171.52798748016357
482,171.89177083969116
483,172.27054691314697
484,172.62403345108032
485,172.96886658668518
486,173.31539678573608
487,173.66897058486938
488,174.016184091568
489,174.3623058795929
490,174.7082622051239
491,175.08281326293945
492,175.46596717834473
493,175.8196520805359
494,176.16952276229858
495,176.52715516090393
496,176.87720608711243
497,177.23577189445496
498,177.57674765586853
499,177.93627452850342
500,178.33300709724426
501,178.68476152420044
502,179.03722667694092
503,179.39120888710022
504,179.74662470817566
505,180.10061645507812
506,180.46036553382874
507,180.81563639640808
508,181.166672706604
509,181.52444672584534
510,181.8793466091156
511,182.2362289428711
512,182.58846759796143
513,182.94358921051025
514,183.29200744628906
515,183.64259386062622
516,184.00256776809692
517,184.40654158592224
518,184.74038648605347
519,185.08764719963074
520,185.4482045173645
521,185.80754852294922
522,186.14860248565674
523,186.50202822685242
524,186.8315143585205
525,187.225647687912
526,187.57053446769714
527,187.92624258995056
528,188.28189969062805
529,188.63511848449707
530,188.98332333564758
531,189.33802914619446
532,189.69129586219788
533,190.06012296676636
534,190.456392288208
535,190.81298112869263
536,191.1461877822876
537,191.503422498703
538,191.85724091529846
539,192.20375752449036
540,192.55819272994995
541,192.92058110237122
542,193.32661366462708
543,193.68449115753174
544,194.0393099784851
545,194.37750792503357
546,194.7266070842743
547,195.0798306465149
548,195.42925381660461
549,195.786878824234
550,196.17001581192017
551,196.52524328231812
552,196.87916541099548
553,197.22825384140015
554,197.58124470710754
555,197.92873549461365
556,198.2691524028778
557,198.6209888458252
558,198.9781186580658
559,199.3557059764862
560,199.71056127548218
561,200.061096906662
562,200.41887378692627
563,200.77618288993835
564,201.11818432807922
565,201.4760901927948
566,201.82964611053467
567,202.20857095718384
568,202.54024720191956
569,202.90076160430908
570,203.25862216949463
571,203.61460542678833
572,203.96193313598633
573,204.31833744049072
574,204.68176794052124
575,205.047598361969
576,205.4387834072113
577,205.7947175502777
578,206.15128326416016
579,206.5119869709015
580,206.86560940742493
581,207.21194887161255
582,207.56420278549194
583,207.91059160232544
584,208.28701066970825
585,208.63634634017944
586,209.02184128761292
587,209.3765423297882
588,209.72916889190674
589,210.08719658851624
590,210.43707466125488
591,210.78751850128174
592,211.1644971370697
593,211.52649188041687
594,211.87753987312317
595,212.23395657539368
596,212.5791299343109
597,212.92483496665955
598,213.25458455085754
599,213.60690140724182
600,213.97010278701782
601,214.3570318222046
602,214.71176767349243
603,215.05825448036194
604,215.39774775505066
605,215.75583004951477
606,216.1103117465973
607,216.46464228630066
608,216.81817770004272
609,217.18660283088684
610,217.5277259349823
611,217.87856888771057
612,218.2313015460968
613,218.5824785232544
614,218.9317910671234
615,219.28200697898865
616,219.63750886917114
617,219.99335145950317
618,220.36716747283936
619,220.720801115036
620,221.07049345970154
621,221.42507553100586
622,221.7792613506317
623,222.13855957984924
624,222.48669457435608
625,222.83172941207886
626,223.1995770931244
627,223.54888820648193
628,223.90306782722473
629,224.265611410141
630,224.61948585510254
631,224.9668116569519
632,225.31806707382202
633,225.6654987335205
634,226.0257704257965
635,226.40881752967834
636,226.7597451210022
637,227.10617470741272
638,227.44806241989136
639,227.7986180782318
640,228.1554479598999
641,228.51209545135498
642,228.86448502540588
643,229.2142584323883
644,229.55874705314636
645,229.91298842430115
646,230.2710726261139
647,230.62427973747253
648,230.97710847854614
649,231.3268575668335
650,231.67701053619385
651,232.04446649551392
652,232.43532252311707
653,232.78621196746826
654,233.13534593582153
655,233.48615670204163
656,233.83154201507568
657,234.18616247177124
658,234.5419728755951
659,234.8996696472168
660,235.2950189113617
661,235.65110564231873
662,236.01104736328125
663,236.38290929794312
664,236.73741722106934
665,237.09387278556824
666,237.44647216796875
667,237.80120396614075
