Time (secs),Control variable
0.007456302642822266,1
0.02808094024658203,1
0.04848504066467285,1
0.06890463829040527,1
0.08957409858703613,1
0.10987520217895508,1
0.13038134574890137,1
0.15085601806640625,1
0.17131519317626953,1
0.19163179397583008,1
0.21190428733825684,1
0.2322707176208496,1
0.2525920867919922,1
0.27309346199035645,1
0.29373598098754883,1
0.3145637512207031,1
0.3348267078399658,1
0.35520386695861816,1
0.376431941986084,1
0.3970205783843994,1
0.41773295402526855,1
0.4384615421295166,1
0.45963501930236816,1
0.48024988174438477,1
0.5007221698760986,1
0.5211899280548096,1
0.5417985916137695,1
0.5624971389770508,1
0.5836009979248047,1
0.6039695739746094,1
0.624260425567627,1
0.6445791721343994,1
0.664975643157959,1
0.685624361038208,1
0.7060232162475586,1
0.7266595363616943,1
0.7476925849914551,1
0.7680730819702148,1
0.7885761260986328,1
0.809187650680542,1
0.8300008773803711,1
0.8504738807678223,1
0.8709185123443604,1
0.8916130065917969,1
0.9119336605072021,1
0.9322142601013184,1
0.9526505470275879,1
0.973151683807373,1
0.9934518337249756,1
1.013869047164917,1
1.0347483158111572,1
1.0550620555877686,1
1.0753040313720703,1
1.095710277557373,1
1.1160500049591064,1
1.1365244388580322,1
1.1569180488586426,1
1.1773614883422852,1
1.1980750560760498,1
1.2185935974121094,1
1.2388861179351807,1
1.260056734085083,1
1.2804346084594727,1
1.3020079135894775,1
1.322296142578125,1
1.3427681922912598,1
1.3633289337158203,1
1.3844611644744873,1
1.4048385620117188,1
1.4253337383270264,1
1.4460361003875732,1
1.4669060707092285,1
1.4881112575531006,1
1.5086567401885986,1
1.529191017150879,1
1.549962043762207,1
1.570279598236084,1
1.5909357070922852,1
1.6113982200622559,1
1.6317665576934814,1
1.6521506309509277,1
1.6732940673828125,1
1.6935598850250244,1
1.7138357162475586,1
1.7356469631195068,1
1.7638680934906006,1
1.784200668334961,1
1.804518699645996,1
1.825366497039795,1
1.8456895351409912,1
1.865966796875,1
1.8916726112365723,1
1.912003993988037,1
1.9330270290374756,1
1.959996223449707,1
1.9803237915039062,1
2.0006017684936523,1
2.0225255489349365,1
2.0429680347442627,1
2.06391978263855,1
2.0844032764434814,1
2.104703903198242,1
2.125319004058838,1
2.146066427230835,0.9866328209645074
2.1663525104522705,0.9620808351474762
2.1872787475585938,0.9380379781911402
2.207735538482666,0.9115483477444739
2.2282285690307617,0.8838433190989428
2.248692035675049,0.855405844445549
2.2693257331848145,0.842108452162511
2.290187358856201,0.7844783265999156
2.3106653690338135,0.758569121054455
2.3311102390289307,0.7085072890918899
2.351675510406494,0.6781811383095114
2.3720083236694336,0.6404140851186855
2.3925726413726807,0.6199317224443467
2.413170337677002,0.5761435851553868
2.4336626529693604,0.5354979339542832
2.454653263092041,0.4951143960026128
2.4758241176605225,0.4517552051348653
2.4962074756622314,0.39410281098265443
2.5167346000671387,0.3934926334156082
2.537172317504883,0.3202621079247328
2.557678699493408,0.2850197011975808
2.578035831451416,0.24260552624672344
2.598586082458496,0.1804472688729839
2.6195900440216064,0.14159703879785418
2.6400675773620605,0.0952529390715127
2.6604692935943604,0.033269779617830245
2.6810712814331055,0
2.7017822265625,0
2.7225210666656494,0
2.7437615394592285,0
2.7643465995788574,0
2.7848739624023438,0
2.8051860332489014,0
2.8259389400482178,0
2.8466897010803223,0
2.8678388595581055,0
2.888206958770752,0
2.90883207321167,0
2.929659605026245,0
2.9502172470092773,0
2.9706003665924072,0
2.991260290145874,0
3.0116183757781982,0
3.0319154262542725,0
3.052260398864746,0
3.0728988647460938,0
3.093170166015625,0
3.1136112213134766,0
3.1345202922821045,0
3.1557397842407227,0
3.1760826110839844,0
3.196610689163208,0
3.2171988487243652,0
3.2374608516693115,0
3.2578303813934326,0
3.2783987522125244,0
3.298844575881958,0
3.319862127304077,0
3.340310573577881,0
3.3608601093292236,0
3.381486415863037,0
3.401761770248413,0
3.4229772090911865,0
3.4437952041625977,0
3.464235305786133,0
