Time (secs),Control variable
0.00019025802612304688,1
0.02033829689025879,1
0.040506839752197266,1
0.06069326400756836,1
0.08085250854492188,1
0.10100603103637695,1
0.12121057510375977,1
0.14140629768371582,1
0.16158652305603027,1
0.18182992935180664,1
0.20207691192626953,1
0.22226786613464355,1
0.24312257766723633,1
0.26388978958129883,1
0.2841777801513672,1
0.30466437339782715,1
0.3250129222869873,1
0.34557175636291504,1
0.3659350872039795,1
0.386455774307251,1
0.4072437286376953,1
0.4281158447265625,1
0.4487931728363037,1
0.4690828323364258,1
0.4896233081817627,1
0.5102066993713379,1
0.5308918952941895,1
0.55133056640625,1
0.5722019672393799,1
0.5929477214813232,1
0.6145782470703125,1
0.6352829933166504,1
0.6562449932098389,1
0.677147626876831,1
0.6981899738311768,1
0.7192366123199463,1
0.7401459217071533,1
0.7612361907958984,1
0.782048225402832,1
0.8024704456329346,1
0.8234109878540039,1
0.8449869155883789,1
0.8657982349395752,1
0.8865954875946045,1
0.9074807167053223,1
0.9285304546356201,1
0.9490511417388916,1
0.969679594039917,1
0.9906332492828369,1
1.012587547302246,1
1.033130168914795,1
1.0550148487091064,1
1.0769786834716797,1
1.0983572006225586,1
1.1189100742340088,1
1.1393284797668457,1
1.1596434116363525,1
1.1800920963287354,1
1.2004356384277344,1
1.2208476066589355,1
1.2413218021392822,1
1.2619235515594482,1
1.2825658321380615,1
1.302891731262207,1
1.3233115673065186,1
1.3443207740783691,1
1.3647973537445068,1
1.3853201866149902,1
1.405855417251587,1
1.4262027740478516,1
1.446476936340332,1
1.4669198989868164,1
1.4872848987579346,1
1.5076680183410645,1
1.5289137363433838,1
1.54915189743042,1
1.5697178840637207,1
1.5900349617004395,1
1.610776662826538,1
1.6316568851470947,1
1.6525180339813232,1
1.6728179454803467,1
1.6934633255004883,1
1.713991641998291,1
1.7347190380096436,1
1.7550499439239502,1
1.775528907775879,1
1.7967760562896729,1
1.8173582553863525,1
1.8376083374023438,1
1.8579554557800293,1
1.8782029151916504,0.9562724232673645
1.8985636234283447,0.9562724232673645
1.919064998626709,0.8312487602233887
1.9393680095672607,0.8312487602233887
1.9598557949066162,0.7062256336212158
1.9802193641662598,0.6074414849281311
2.000521659851074,0.5457013249397278
2.02089262008667,0.48550504446029663
2.0411646366119385,0.42685210704803467
2.061494827270508,0.3697425127029419
2.0821471214294434,0.3527641296386719
2.102579116821289,0.2987412214279175
2.1229467391967773,0.2138487696647644
2.1437649726867676,0.20304429531097412
2.1644127368927,0.1582830548286438
2.184786558151245,0.1490219235420227
2.2051355838775635,0.07030338048934937
2.225616216659546,0.06721615791320801
2.246338129043579,0.03325939178466797
2.266817808151245,0
2.287590265274048,0
2.308009624481201,0
2.3283450603485107,0
2.3488035202026367,0
2.3693649768829346,0
2.3896875381469727,0
2.4100043773651123,0
2.4303433895111084,0
2.4507908821105957,0
2.471088409423828,0
2.491457939147949,0
2.5119664669036865,0
2.5326273441314697,0
2.553025007247925,0
2.573329448699951,0
2.5936825275421143,0
2.6143224239349365,0
2.634669542312622,0
2.6555652618408203,0
2.676191568374634,0
2.6964974403381348,0
2.716759204864502,0
2.7371559143066406,0
2.757584810256958,0
2.7779386043548584,0
2.7983272075653076,0
2.81856107711792,0
2.838902711868286,0
2.8592305183410645,0
2.8795576095581055,0
2.899900436401367,0
2.9202470779418945,0
2.9406917095184326,0
2.966951370239258,0
2.9872243404388428,0
3.011481285095215,0
3.03218412399292,0
3.052584648132324,0
3.073496103286743,0
3.095215082168579,0
3.1195764541625977,0
3.1427834033966064,0
3.1661040782928467,0
3.1864514350891113,0
3.2078616619110107,0
3.2308826446533203,0
3.2511954307556152,0
3.271770715713501,0
3.2921183109283447,0
3.3123974800109863,0
3.344005823135376,0
3.3700971603393555,0
3.390479803085327,0
3.4107699394226074,0
3.431100845336914,0
3.451450824737549,0
3.471940279006958,0
3.492232084274292,0
3.5125961303710938,0
3.5329089164733887,0
3.5532026290893555,0
3.573486089706421,0
3.596931219100952,0
3.617475986480713,0
3.6397767066955566,0
3.6600329875946045,0
3.680347204208374,0
3.7007431983947754,0
3.721182346343994,0
3.741546869277954,0
3.76226806640625,0
3.7826881408691406,0
3.8034608364105225,0
3.824634552001953,0
3.845550298690796,0
3.8658480644226074,0
3.8864898681640625,0
3.9071996212005615,0
3.9275357723236084,0
3.9479048252105713,0
3.968304395675659,0
3.9885919094085693,0
4.008836507797241,0
4.029415845870972,0
4.049680948257446,0
4.069998502731323,0
4.090436697006226,0
4.111201763153076,0
4.132262706756592,0
4.152634859085083,0
4.172949552536011,0
4.193636417388916,0
4.2140069007873535,0
4.234647274017334,0
4.255053281784058,0
4.276220321655273,0
4.296653747558594,0
4.31714940071106,0
4.337697505950928,0
4.358112335205078,0
4.378462076187134,0
4.398856163024902,0
4.419518232345581,0
4.439984321594238,0
4.460277795791626,0
4.480622053146362,0
4.500902414321899,0
4.5213844776153564,0
4.541882276535034,0
4.562623739242554,0
4.583032608032227,0
4.603822231292725,0
4.624811410903931,0
4.645466089248657,0
4.665769338607788,0
4.686554908752441,0
4.706861734390259,0
4.72923469543457,0
4.749559640884399,0
4.770260572433472,0
4.79095196723938,0
4.811838150024414,0
4.832218647003174,0
4.852600336074829,0
4.872965097427368,0
4.893597364425659,0
4.913863182067871,0
4.934178352355957,0
4.954904556274414,0
4.975562572479248,0
4.9960339069366455,0
5.016356945037842,0
5.0368332862854,0
5.057588338851929,0
5.0782036781311035,0
5.09870171546936,0
5.119126081466675,0
5.139497995376587,0
5.159803867340088,0
5.180068731307983,0
5.200389623641968,0
5.220801830291748,0
5.241130590438843,0
5.261383056640625,0
5.281975269317627,0
5.302573919296265,0
5.323235750198364,0
5.343868255615234,0
5.364264726638794,0
5.3845484256744385,0
5.404964447021484,0
5.425518989562988,0
5.44599175453186,0
5.466391563415527,0
5.486868619918823,0
5.507338047027588,0
5.528020143508911,0
5.548455238342285,0
5.568889379501343,0
5.58929181098938,0
5.609592437744141,0
5.629936456680298,0
5.650304794311523,0
5.670640468597412,0
5.691124439239502,0
5.71159029006958,0
5.732755899429321,0
5.753161430358887,0
5.773585081100464,0
5.794306039810181,0
5.815362453460693,0
5.835689544677734,0
5.856842756271362,0
5.877249479293823,0
5.898031234741211,0
5.91865348815918,0
5.938916921615601,0
5.960957765579224,0
5.981989145278931,0
6.002218008041382,0
6.0225913524627686,0
6.042908668518066,0
6.063197135925293,0
6.083492040634155,0
6.103846788406372,0
6.12436318397522,0
6.14463996887207,0
6.164915084838867,0
6.187785625457764,0
6.208311557769775,0
6.232070207595825,0
6.25238299369812,0
6.272672891616821,0
6.2930426597595215,0
6.313416242599487,0
6.334275007247925,0
6.355332136154175,0
6.3759095668792725,0
6.396250247955322,0
6.416787385940552,0
6.437240123748779,0
6.458760738372803,0
6.479266881942749,0
6.499698162078857,0
6.5202436447143555,0
6.54060697555542,0
6.561161279678345,0
6.581593751907349,0
6.602075815200806,0
6.6224939823150635,0
6.642803192138672,0
6.663654327392578,0
6.684046745300293,0
6.704876661300659,0
6.725145101547241,0
6.74561882019043,0
6.766161680221558,0
6.786444664001465,0
6.806712865829468,0
6.8269548416137695,0
6.847296953201294,0
6.867771863937378,0
6.888071775436401,0
6.908402919769287,0
6.928676128387451,0
6.948992967605591,0
6.969636917114258,0
6.990098237991333,0
7.010638236999512,0
7.030941724777222,0
7.051283836364746,0
7.072189569473267,0
7.092443943023682,0
7.112783193588257,0
7.133122682571411,0
7.153502464294434,0
7.173887729644775,0
7.194280624389648,0
7.214684963226318,0
7.23534631729126,0
7.255813360214233,0
7.276233911514282,0
7.296860694885254,0
7.317246198654175,0
7.3378071784973145,0
7.35815167427063,0
7.378901481628418,0
7.399290323257446,0
7.419575452804565,0
7.440115690231323,0
7.4604480266571045,0
7.480954885482788,0
7.502281427383423,0
7.523230075836182,0
7.544182062149048,0
7.564612865447998,0
7.585214614868164,0
7.605577707290649,0
7.626152276992798,0
7.647074937820435,0
7.667551279067993,0
7.688490629196167,0
7.708783149719238,0
7.729214191436768,0
7.7495129108428955,0
7.770373821258545,0
7.790687561035156,0
7.811689376831055,0
7.832988023757935,0
7.8532631397247314,0
7.873752593994141,0
7.894574403762817,0
7.9155049324035645,0
7.936528444290161,0
7.956876993179321,0
7.977372169494629,0
7.9977288246154785,0
8.01830506324768,0
8.038716077804565,0
8.059217929840088,0
8.079766988754272,0
8.100051879882812,0
8.120400190353394,0
8.140775203704834,0
8.161263227462769,0
8.182062149047852,0
8.202569723129272,0
8.223470687866211,0
8.244283437728882,0
8.26462721824646,0
8.285088777542114,0
8.30569314956665,0
8.32643437385559,0
8.347395658493042,0
8.368114948272705,0
8.388405084609985,0
8.409944295883179,0
8.430891752243042,0
8.45115327835083,0
8.472196817398071,0
8.492645502090454,0
8.513343811035156,0
8.533855676651001,0
8.554440975189209,0
8.575465440750122,0
8.595914840698242,0
8.61639666557312,0
8.636833667755127,0
8.657291173934937,0
8.677847862243652,0
8.698517084121704,0
8.718829870223999,0
8.73915958404541,0
8.759610891342163,0
8.779850721359253,0
8.80013132095337,0
8.820499181747437,0
8.840897560119629,0
8.861203670501709,0
8.881568431854248,0
8.902043104171753,0
8.922261238098145,0
8.943396091461182,0
8.963632822036743,0
8.984138011932373,0
9.00446629524231,0
9.02925968170166,0
9.04969596862793,0
9.070018291473389,0
9.092233657836914,0
9.112609148025513,0
9.132872581481934,0
9.155768394470215,0
9.176412582397461,0
9.196736574172974,0
9.217058897018433,0
9.23737382888794,0
9.259913444519043,0
9.280136108398438,0
9.300541400909424,0
9.320734739303589,0
9.341075420379639,0
9.361712455749512,0
9.382489681243896,0
9.40281367301941,0
9.423116207122803,0
9.44349455833435,0
9.463842868804932,0
9.484212636947632,0
9.504863977432251,0
9.525165796279907,0
9.54565715789795,0
9.566207885742188,0
9.586615324020386,0
9.607594013214111,0
9.628411054611206,0
9.648827314376831,0
9.66909146308899,0
9.68946123123169,0
9.710072040557861,0
9.730468511581421,0
9.750895023345947,0
9.771528005599976,0
9.792797088623047,0
9.813386917114258,0
9.833770990371704,0
9.854570865631104,0
9.874909400939941,0
9.896061897277832,0
9.917028903961182,0
9.93730115890503,0
9.957974910736084,0
9.978435277938843,0
9.998825550079346,0
10.019174575805664,0
