Detection Confidence,Precision,True Positives,False Positives,No Detection,Reliability
0.2,0.894941634241245,690,81,59,0.831325301204819
0.4,0.891752577319588,692,84,54,0.833734939759036
0.6,0.899739583333333,691,77,62,0.832530120481928
0.8,0.958823529411765,652,28,150,0.785542168674699
1,0,0,0,830,0
